"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Fas1",0.00668980207987571,0.115493670802453,0.496,0.411,1
"Hk",0.00669938926509945,-0.78300302696551,0.052,0.078,1
"Pka-R1",0.00676571846502876,0.170168966703073,0.327,0.265,1
"exu",0.00676691439353183,1.64439754720907,0.012,0.003,1
"Sras",0.00676769954766503,0.345639928747076,0.061,0.038,1
"CG7639",0.00685991289783857,0.10648673732979,0.115,0.081,1
"CG4042",0.00689115177125781,-0.195484783766641,0.084,0.055,1
"vret",0.00689413058768235,0.167366360705337,0.115,0.081,1
"CG31229",0.00694789294181374,0.154634094631986,0.141,0.104,1
"CG3663",0.00699631139110616,0.223661455136026,0.083,0.055,1
"Trf",0.00702083304149837,0.384957523502138,0.062,0.039,1
"CG8944",0.00704612025004659,0.656254533259987,0.055,0.034,1
"Taf2",0.00707208010342538,0.388434137398217,0.081,0.054,1
"CG5708",0.00708630320815327,0.172853813683393,0.234,0.185,1
"CG16953",0.00712511673254831,0.128792909683909,0.231,0.183,1
"Ggt-1",0.00713754987201395,0.3261186325674,0.1,0.07,1
"Mcm3",0.00716436437044501,0.19632377941019,0.089,0.06,1
"Zip48C",0.00717809162237988,0.37750283821718,0.112,0.08,1
"CG31191",0.00721683660590769,0.303925860933053,0.111,0.079,1
"CG31126",0.00721988853423309,0.212889673205652,0.088,0.059,1
"CycH",0.00724464314101642,0.284892088712763,0.089,0.06,1
"CHES-1-like",0.00724736680133587,-0.33687234638659,0.497,0.502,1
"CG8326",0.00725067767247408,0.154837482374563,0.071,0.046,1
"vari",0.00726958830511617,0.129976703905658,0.157,0.118,1
"crc",0.00727210800287821,-0.232611237687012,0.658,0.626,1
"CG1317",0.00730607866783687,0.126202610837953,0.121,0.086,1
"sei",0.00730630017760021,0.644125096802199,0.056,0.034,1
"Raf",0.00732645427967144,0.18362083517376,0.092,0.063,1
"alpha-Man-Ib",0.00733274784343569,0.313768446636193,0.076,0.05,1
"Ski6",0.00733347346015641,0.21143360298379,0.09,0.061,1
"CG13566",0.00735116966145355,0.41756375619056,0.077,0.051,1
"Bmcp",0.00736474398100177,-0.191496025321569,0.18,0.134,1
"Liprin-beta",0.00741221422839768,0.115225002739498,0.275,0.221,1
"nmdyn-D6",0.00741702033691154,0.522902910730759,0.033,0.016,1
"Atg9",0.00744546934952527,0.439946423653883,0.067,0.043,1
"Trx-2",0.00745912768982314,0.112703030181499,0.674,0.582,1
"spn-E",0.00749311753173299,0.125446251597852,0.075,0.049,1
"RpI135",0.0075060919919253,0.240603085429734,0.074,0.048,1
"Rab32",0.00751476793432164,0.969253979969856,0.033,0.017,1
"pll",0.00752656815348162,0.463385671932512,0.117,0.085,1
"Ncc69",0.00754010614851809,0.313031575664935,0.091,0.063,1
"CG12935",0.00756072547118851,0.18287722469865,0.063,0.039,1
"Eip78C",0.00756650348395614,0.227018578626764,0.091,0.062,1
"EloA",0.00758788930294664,-0.103446735693155,0.135,0.097,1
"CG31156",0.00765827241554321,0.140076665905741,0.089,0.06,1
"Cdk12",0.00766257976414109,0.103148477918561,0.327,0.265,1
"GstZ1",0.00766420638985984,0.252173705311434,0.093,0.063,1
"Plekhm1",0.00770005658601441,0.354524835944618,0.094,0.065,1
"SoYb",0.00776668546801763,0.148689059525215,0.19,0.146,1
"CG17776",0.00782575296271712,0.123562493856856,0.204,0.158,1
"CG14535",0.00783175424760707,0.221120148893941,0.255,0.205,1
"CG9986",0.00783373865135392,0.365396992731907,0.045,0.026,1
"ArgRS-m",0.00783631839952218,0.245425483913596,0.038,0.021,1
"CG15099",0.00785533274717903,0.168476750706136,0.188,0.146,1
"CG31998",0.00792692717104519,0.145960202578602,0.611,0.523,1
"CG14629",0.00802455859763001,0.618809248995196,0.033,0.017,1
"hay",0.00802725589351966,-0.24443098301075,0.05,0.029,1
"CG6005",0.00802831215163679,0.284768340980806,0.067,0.043,1
"dpr13",0.00805214195927662,0.315421918397473,0.085,0.057,1
"CG11141",0.0080904935779166,0.215035149202659,0.085,0.057,1
"CG7289",0.00814072861196843,0.254114186126067,0.081,0.054,1
"NFAT",0.00819460113075862,0.128764077261835,0.759,0.653,1
"DNApol-eta",0.00819994361479751,0.141778768369429,0.142,0.105,1
"pip",0.00825990191093522,-1.77584541394914,0.006,0.017,1
"CG10866",0.00829166533087979,0.567969106855105,0.062,0.039,1
"RpS14b",0.00829580138181512,0.124168146543981,0.73,0.678,1
"Ssk",0.00832292967528164,-1.1071301522499,0.018,0.034,1
"stv",0.00836827509392298,0.124161843296684,0.894,0.812,1
"Updo",0.00838238419917914,0.121040673625562,0.181,0.138,1
"shv",0.00843490496357581,-0.155614899135106,0.198,0.152,1
"CG33056",0.00843686061926304,0.202830357532373,0.13,0.095,1
"CG3704",0.0084617190733595,-0.150245764953154,0.225,0.173,1
"CG11825",0.00846823561366298,0.797261524543797,0.025,0.011,1
"Cap-D2",0.00847802095266396,0.452720339829061,0.055,0.034,1
"UBL3",0.00852592116790146,0.114214236744366,0.397,0.323,1
"mRpL20",0.00853992927655924,-0.143400009362192,0.112,0.079,1
"adp",0.00859510286933084,0.124014926807043,0.056,0.034,1
"CG30020",0.00860530087946089,0.516936520771026,0.088,0.061,1
"PEK",0.00866401284454346,-0.184790601967775,0.115,0.081,1
"mrn",0.00871870769605121,0.347933812927001,0.056,0.034,1
"WASp",0.00874264143267747,0.330577824838161,0.121,0.088,1
"Nup214",0.008766561440943,0.167166046926903,0.114,0.081,1
"psidin",0.00879213595697139,0.169850278713275,0.105,0.074,1
"Mrtf",0.00879277708688862,0.102016999721108,0.308,0.248,1
"CG8272",0.00882286887024474,0.419824030010238,0.041,0.023,1
"Spec2",0.00886050772264718,0.332894292341623,0.079,0.053,1
"TTLL12",0.00892386132685352,0.149152074048984,0.081,0.054,1
"Hakai",0.00897028140769507,0.213825682555994,0.127,0.093,1
"stl",0.00898183817640863,0.243454753143654,0.466,0.417,1
"Chd3",0.00901059011837335,0.376216822349727,0.05,0.03,1
"Cenp-C",0.0091959319613556,0.103528798597004,0.216,0.17,1
"CSN3",0.00920991497741932,0.106345725253781,0.184,0.142,1
"AcCoAS",0.00921538956948126,0.123061608898967,0.059,0.036,1
"CG3529",0.00924384169798505,0.177282466628831,0.238,0.191,1
"CG7791",0.00925232303225256,0.572506469311824,0.036,0.019,1
"Kaz1-ORFB",0.00930109993041595,0.581238998690921,0.03,0.015,1
"CG34195",0.00931540373362823,0.318481210995214,0.051,0.031,1
"Den1",0.00936932261577956,-0.423046096280647,0.276,0.306,1
"Sap30",0.00939529909877164,-0.123972627872775,0.265,0.208,1
"Idgf3",0.00945483392216594,0.17765525178523,0.513,0.453,1
"CG34008",0.00949305573788856,0.698107519468671,0.037,0.02,1
"stai",0.00951806583704328,0.131502182408413,0.672,0.608,1
"fliI",0.00952254524010279,0.588993847984265,0.054,0.033,1
"rod",0.00952867044074058,0.341328924103887,0.079,0.053,1
"l(3)72Ab",0.00953850167849534,0.161254667960379,0.139,0.103,1
"upd2",0.00956217086849804,1.38841212840927,0.032,0.016,1
"CG10166",0.00957149893890882,-0.100843331043842,0.205,0.158,1
"CG9018",0.00958727609188929,0.196478468002704,0.105,0.074,1
"CG3356",0.00959440640881752,0.210421945414048,0.11,0.078,1
"CG15879",0.0096212487097963,0.812540501211004,0.037,0.02,1
"gro",0.00976027968197978,0.108471411397053,0.669,0.576,1
"Coprox",0.00976453035306105,0.324895737730009,0.086,0.059,1
"Mtap",0.00978450075798442,0.210443962383092,0.086,0.059,1
"Acph-1",0.00983426378912133,0.168228539783104,0.151,0.114,1
"Lpt",0.00983453526108707,0.377830479750161,0.069,0.045,1
"CG5359",0.00990111036476198,1.05338170204847,0.032,0.016,1
"l(2)41Ab",0.00990364932667663,0.411099522876608,0.097,0.068,1
"CG9967",0.00993704657680207,0.128967551402025,0.167,0.128,1
"mRpL17",0.0100277458187545,0.108280266667003,0.112,0.081,1
"CG12018",0.0100396558634119,0.618579614270131,0.032,0.016,1
"CG43783",0.0100807170227236,0.799564179144489,0.062,0.04,1
"Nmt",0.0101247622360189,-0.131920396629314,0.122,0.088,1
"Gdap2",0.0101816319429409,0.131545829405118,0.813,0.732,1
"CG4953",0.0101867661498665,0.151216408929789,0.075,0.05,1
"laza",0.0101908709570934,0.578014594650157,0.075,0.051,1
"CG2875",0.0102028076655867,0.276901506061722,0.051,0.031,1
