"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"CG31705",2.74621704835858e-43,0.315037423307166,0.359,0.258,3.25344333719041e-39
"Arp3",3.05860488619857e-43,0.26182632805429,0.472,0.366,3.62352920867944e-39
"Past1",3.67078190791713e-43,0.286091618722556,0.505,0.395,4.34877532630943e-39
"Inx3",3.7933040817311e-43,0.251348753549807,0.646,0.534,4.49392734562683e-39
"Ggamma1",3.98383096937337e-43,0.234655684641901,0.758,0.661,4.71964454941664e-39
"Cortactin",6.41836058821092e-43,0.292771375113726,0.362,0.266,7.60383178885348e-39
"Tm1",6.50715404957915e-43,0.217858109445605,0.926,0.88,7.70902540253642e-39
"Xrp1",6.54939144647003e-43,0.244273096764889,0.889,0.811,7.75906404663304e-39
"CG31897",8.73713260584368e-43,0.684181523461434,0.134,0.074,1.0350880998143e-38
"eIF2alpha",1.28435470306178e-42,0.229878794231815,0.681,0.581,1.52157501671729e-38
"eIF4G2",1.57567702663206e-42,0.22901731359251,0.338,0.241,1.866704573451e-38
"alpha-Spec",1.59134675173105e-42,0.274963938690542,0.521,0.409,1.88526849677577e-38
"pain",1.63042400220528e-42,0.15671016692738,0.717,0.613,1.9315633154126e-38
"His3.3B",1.95647819372886e-42,0.216190755245265,0.906,0.852,2.31783971611058e-38
"msps",2.26315773527579e-42,0.189995676368091,0.428,0.321,2.68116296898123e-38
"CG1572",2.28355232169804e-42,0.356578864884029,0.818,0.727,2.70532443551567e-38
"CG15012",2.3322501912527e-42,0.217027874025478,0.652,0.545,2.76301680157708e-38
"p38a",2.35778144074652e-42,0.297240942827317,0.303,0.213,2.7932636728524e-38
"eIF1",3.76219573183102e-42,0.211834749473123,0.81,0.726,4.45707328350021e-38
